"HolderAddress","Quantity","PendingBalanceUpdate"
"0x721c7fffe9ac426a028e616677811f755fa99eba","1","No"
"0x597fc897b6ab221c18cf51a31cef41285597aef1","1","No"
"0xa1cad48e9844d850f066376e1f1e04147b16619e","1","No"
"0x127d60193f08626e168099fc2277e31f5a89b1a7","1","No"
"0x046f601cbcbfa162228897ac75c9b61daf5cee5f","1","No"
"0x635b230c3fdf6a466bb6dc3b9b51a8ceb0659b67","1","No"
"0xcf6646cea3018f33f757c95d3de3e6516b118c7e","1","No"
"0x0ff9b6ab6ec58ceb6d5ae8a1690dd5a0959ad002","1","No"
"0x4d246e41d7131ff60cd533c13bd2aafce7ab1265","1","No"
"0x344b1e4ac175f16d3ba40a688ca928e3768e275a","1","No"
"0x70ddb5abf21202602b57f4860ee1262a594a0086","1","No"
"0x707d306714ff28560f32bf9dae973bd33cd851c5","1","No"
"0x3551042c0b6176f0961f7345ee4177a16708ecf4","1","No"
"0x1b5b4fcedf1252cd92496a2fd5c593b39ac49b01","1","No"
"0xf6f35c56a3d70c47b8ae4628dc5db0e6ff30d2f8","1","No"
"0x92d12e9d46418d9464c572c95fc22bcf3a76c391","1","No"
"0x2d5823e8e8b4dfbf599a97566ff2a121cc141d60","1","No"
"0x675ef0c4374077734eace4409c6c2d68415ed177","1","No"
"0xf0f080b0ff503f6d59edbf8551df24d02c69deef","1","No"
"0x8fb4a0b2da50a7aaff1c7a29e2369e8923e68c4c","1","No"
"0x2f2b6054b0ddaa1f98915aeece7710d0ad106d2f","1","No"
"0x76ac6ad4e4e7c2e0b4ceeb30745bd53df3a85774","1","No"
"0xd7240943957ef00fe5f0f18eca7a92a1a3de91ac","1","No"
"0x00432772ed25d4eb3c6eb26dc461239b35cf8760","1","No"
"0x9d0e4c670b1c3f9213ee13c79f16e2852d158253","1","No"
"0x5a50ddde196bcd65e806273cd665739e3f5d0cf1","1","No"
"0x0aa3dceb1e65b8f7d3a58bed68054b1c81585002","1","No"
"0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9","1","No"
"0xcf603a4b0d42337dd9fde4998c092adc9c6c7fdb","1","No"
"0x767a60f295aedd958932088f9cd6a4951d8739b6","1","No"
"0xad4745844bc838a22c6d63213507bc888dee3fc4","1","No"
