owner,tickLower,tickUpper,netMarginDeposited pre Rewards,netMarginDeposited,realizedPnL,seized for rPnL,balance after rPnL,unrealizedPnL,seized uPnL,final rpnl settlement,upnl settlement,takeHome
0x16b9967fa64d4064dfef0883b678d1566cc56c40,-69060,0,1335.917084,1335.917084,27.05759321,0,1346.531629,-647.4572549,647.4572549,16.44304785,0,715.5174223
0x909c18a0a549057347193d49ae77a8b4f7504f38,-11220,-11160,357.546649,330.868117,-2070.980713,330.868117,0,-16.53644305,0,0,0,0
0xe91a790292870ef71f70bf8a98a01e11deef3a74,-69060,0,971.203512,971.203512,-219.1435252,219.1435252,752.0599868,4485.615359,0,0,799.5265068,1551.586494
0xb707357cd23682120459e0bdb385401185de5e3b,-69060,0,9343.332821,9343.332821,4195.123211,0,10989.05664,2230.067876,0,2549.399392,397.4924812,13935.94851
0x931cff7f79398cdbfaa20f6adbe69d16564a9bc8,-11220,-11160,415.60554,383.769366,-2366.009882,383.769366,0,-5.271938089,0,0,0,0
0xe7ca4cb8ebbcb0bc3ad975bd73ef91d821aef67a,-12540,-10980,6.99,6.589613,-43.55545272,6.589613,0,-0.3049210764,0,0,0,0
0x03b8f6e9768c1c491b3181553a45221776771209,-29880,-19440,1050,1050,1.241554065,0,1050.487055,-314.6865431,314.6865431,0.7544992172,0,736.555011
0x79183df82d5646d0e3e6e1f836ac83e3deec481d,-21960,-19440,709.219859,709.219859,95.21466639,0,746.5720502,-361.6439227,361.6439227,57.86247517,0,442.7906027
0x8a45806606b96bd39af47ec8943d3b18ac51ba6e,-69060,0,51757.41798,51757.41798,12247.7434,0,56562.14052,-29538.27218,29538.27218,7443.020862,0,34466.8892
0x48e0d2c4be37c9d4e971597fbab155b6db4736af,-13620,-10980,313,271.355754,-4420.264042,271.355754,0,-0.02676206489,0,0,0,0
0x40e331aecb95768947d01f120da8712f591b0c09,-23040,23040,0.085518,0.078895,-0.3768225059,0.078895,0,-0.0000592,0,0,0,0
0x3ff6517c30bd615d0a3c51ef2460f1886625c900,-12720,-10980,0.055576,0.052321,0.009796411804,0,0.0561640786,-0.1502925161,0.0561640786,0.005953333202,0,0.005953333202
0x3f5bb8df61f22b637a6cdcc00d8ea5bc8c286991,-12540,-10980,0.03,0.028109,0.004994193994,0,0.0300681949,-0.07656709178,0.0300681949,0.003034999091,0,0.003034999091
0x3df7e1e81a18775dee86e38b5770d8d3d77b1a6a,-13860,-10980,0.043452,0.040734,0.008172628752,0,0.04394007742,-0.1250080694,0.04394007742,0.004966551332,0,0.004966551332
0x127b36ba77fb031153ba69d1258f601f2bb3506f,-11340,-11220,827.771276,782.14583,-3516.156068,782.14583,0,-15.63891981,0,0,0,0
0xdf08dfb2752c2bf55facc363f1568d4cf9606110,-9000,-8940,38.88,36.728004,-94.46861037,36.728004,0,-1.353890343,0,0,0,0
0x79183df82d5646d0e3e6e1f836ac83e3deec481d,-11640,-10980,500,441.613456,-1313.196257,441.613456,0,-0.5731918859,0,0,0,0
0xd4c65e5ad014c22f35ce88ca64d2dddd63f368a3,-27720,-17940,0.26,0.26,-0.01204227943,0.01204227943,0.2479577206,6.55E-17,0,0,1.17E-17,0.2479577206
0x3ca1a1e02d3b8f44d2df99ccd6eca8d748959119,-12060,-10980,0.120206,0.110227,0.01435635136,0,0.1158589179,-0.2050900998,0.1158589179,0.008724433489,0,0.008724433489
0x0e9c5cbaa57e7a4e8f842a3944a8434d4dd556d6,-11640,-10980,342,322.13422,-1508.580862,322.13422,0,-0.1808560243,0,0,0,0
0x98dee2f43682a89f1c8405adeaadd47ba2de20cf,-69060,0,1.854261,1.854261,-0.9808604369,0.9808604369,0.8734005631,9.542430292,0,0,1.700864953,2.574265516
0x044d3c0e41dcd637b3fe58d9c9518c2102093a79,-11340,-11100,2.907329,2.745925,0.2730215259,0,2.853029847,-3.083514016,2.853029847,0.1659166792,0,0.1659166792
0x06a41d17bdae691618a5216bd44a4445269a013f,-11460,-10980,99.1,86.082372,-460.9524355,86.082372,0,-0.2985579858,0,0,0,0
0x49918f3b90320bef1f20d874944f1d1ae549403d,-13860,-10980,0.0368,0.030056,-0.2558497691,0.030056,0,-0.0000191,0,0,0,0
0x4938c161488ac98793291842b73167d5ee580961,-10980,-9180,11.111112,9.781678,-29.42045883,9.781678,0,-0.003949811899,0,0,0,0
0x485ab579625dd616d178984ee143e8cbd0cdf380,-13860,-10980,0.14,0.123314,-0.5015769727,0.123314,0,-0.0000644,0,0,0,0
0x485ab579625dd616d178984ee143e8cbd0cdf380,-13080,-11640,0.11,0.095988,-0.5433378627,0.095988,0,-0.0001231833049,0,0,0,0
0x4c8736f7dc3e64295eeb1f53aa900824e7165d5a,-11640,-10980,0.439619,0.409086,0.03863615335,0,0.424242751,-0.5597300704,0.424242751,0.02347940237,0,0.02347940237
0x4b41aaca6ba3f29c48b3a2313687b24e77467d9e,-10320,-8760,10,8.743288,-24.24273282,8.743288,0,-0.002588064928,0,0,0,0
0x4b0c5232e2282d35bb1c78d789193559a080f16b,-12780,-10980,0.01,0.009464,0.0008668730745,0,0.009804069551,-0.01252918881,0.009804069551,0.0005268035235,0,0.0005268035235
0x4b0c5232e2282d35bb1c78d789193559a080f16b,-12660,-11460,0.02,0.018894,0.002561518613,0,0.0198988697,-0.03701903607,0.0198988697,0.001556648915,0,0.001556648915
0x4a9d309cd1217d267631ed97d2e0b07240b527ed,-13620,-9960,0.001,0.000856,-0.003316881853,0.000856,0,-0.000000135,0,0,0,0
0x4a8921c1a924cc3f76763d43891606b4aad5637e,-13380,-11640,0.1339,0.113762,-0.6543394682,0.113762,0,-0.0001341153796,0,0,0,0
0x4a58445edde4566fe81cd3c1c12009ce28f47b92,-13860,-10980,0.001967,0.00158,0.001022563446,0,0.001981146029,-0.01471208267,0.001981146029,0.0006214174165,0,0.0006214174165
0xfb02b7ab6475ef33a3775e22e683c64e256ff666,-23040,-17940,1,1,-0.05706990796,0.05706990796,0.942930092,3.07E-16,0,0,5.47E-17,0.942930092
0xc574aa8461195018ca1dfd6e9705e0d032e1077b,-69060,0,8516.081426,8516.081426,-139.0013941,139.0013941,8377.080032,25299.28483,0,0,4509.403327,12886.48336
0x95e4d54c8eff8d022f926f48643324329ceec6ba,-23040,2220,0.054877,0.054877,-0.5366290223,0.054877,0,0.3912528272,0,0,0.06973781324,0.06973781324
0xe6211521ef4d34adee5407af8759bd08a873c9f8,-27720,-17940,0.000874,0.000874,-0.0000482,0.0000482,0.0008258,6.88E-19,0,0,1.23E-19,0.0008258
0x36c74507201a0ccc1224aaf99417b4b4c95d5f3d,-21960,-17940,0.46,0.46,-0.007479303022,0.007479303022,0.452520697,4.40E-17,0,0,7.84E-18,0.452520697
0x11c3b8592b20123bc24cd9be597998dc693ab5b6,-25680,0,5,5,-10.08100369,5,0,4.508406915,0,0,0.8035889267,0.8035889267
0xe77995e8da94a93149f3eabfa051ba523da6de68,-25680,0,7.257814,7.257814,-21.24931067,7.257814,0,9.474273054,0,0,1.688716449,1.688716449
0x87ff21fb13e723e0136ba3cb1d5410a90dbad55b,-25680,0,4.852679,4.852679,-12.25373426,4.852679,0,5.466798863,0,0,0.9744149349,0.9744149349
0xe6211521ef4d34adee5407af8759bd08a873c9f8,-25680,-6960,37.2,37.2,-75.68552464,37.2,0,33.71399885,0,0,6.009261511,6.009261511
