owner,tickLower,tickUpper,Margin,Pending Settlement Cashflow,seized margin,surplus margin,Balance pre Protocol contribution,Protocol contribution,takeHome
0x4fe503de4edf5ba376521e0555e65616ec3548fa,-10980,-6960,15,0,0,15,14.75121821,0.248781785,15
0x4fe503de4edf5ba376521e0555e65616ec3548fa,-34680,-17940,10.294996,-3240.357349,10.294996,0,0,0,0
0x4fe503de4edf5ba376521e0555e65616ec3548fa,-69060,0,0.563582,-0.062234,0.062234,0.501348,0.4930329166,0.008315083357,0.501348
0x5027b328022b83f5927bc6975202ce6d2e1b1326,-16080,24060,10.388233,-0.381539,0.381539,10.006694,9.840728454,0.1659655464,10.006694
0x5027b328022b83f5927bc6975202ce6d2e1b1326,-69060,0,0.027156,0.000534,0,0.027156,0.02670560546,0.0009843945436,0.02769
0x51bb58cd83491c45e79f7f68c7291645e2e06734,-69060,0,5.659683,-11.505427,5.659683,0,0,0,0
0x51bb58cd83491c45e79f7f68c7291645e2e06734,-6960,23040,1000,0,0,1000,983.4145477,16.58545233,1000
0x542e4dc1d3e7314ccbe93568baa428b01eb90fbc,-69060,0,502,-0.002037,0.002037,501.997963,493.6720997,8.325863287,501.997963
0x542e4dc1d3e7314ccbe93568baa428b01eb90fbc,6960,16080,1003.0357,0,0,1003.0357,986.3998992,16.63580079,1003.0357
0x549c5fc0bc5bafa07515215e0ec8517bc845480b,-16080,0,1.277759,0.061611,0,1.277759,1.256566789,0.08280321099,1.33937
0x549c5fc0bc5bafa07515215e0ec8517bc845480b,-16080,9180,0.100013,0.000094,0,0.100013,0.09835423916,0.001752760844,0.100107
0x549c5fc0bc5bafa07515215e0ec8517bc845480b,-69060,0,0.216757,0.261717,0,0.216757,0.2131619871,0.2653120129,0.478474
0x555da6a5c851420c8f9c4c23537d8e2bb9bca674,-21540,-21420,0.001358,-0.173784,0.001358,0,0,0,0
0x555da6a5c851420c8f9c4c23537d8e2bb9bca674,-69060,0,0.000394,-0.000135,0.000135,0.000259,0.0002547043678,4.30E-06,0.000259
0x57b519468a253c8afb7d52e74e7572f29f194758,-12540,-12360,0.000001,0,0,0.000001,9.83E-07,1.66E-08,0.000001
0x57b519468a253c8afb7d52e74e7572f29f194758,-69060,0,0.117549,0.000087,0,0.117549,0.1155993967,0.002036603336,0.117636
0x5a6a19033e3790891a00d97be1931e45b2a78ff7,-23040,6960,1101.465637,-44.25778,44.25778,1057.207857,1039.673586,17.53427052,1057.207857
0x5c7439d5231aca3627c43440c8f9c1a19236d65a,-69060,0,0.000028,-0.000012,0.000012,0.000016,1.57E-05,2.65E-07,0.000016
0x5d0569904da31a914eec249efdb6a399c3d3e3ee,-13860,-6960,0.100123,-0.000794,0.000794,0.099329,0.09768158361,0.001647416395,0.099329
0x5d0569904da31a914eec249efdb6a399c3d3e3ee,-16680,-10980,1.763916,-1.452499,1.452499,0.311417,0.3062520082,0.005164991809,0.311417
0x5d0569904da31a914eec249efdb6a399c3d3e3ee,-69060,0,5.600006,-3.322877,3.322877,2.277129,2.239361786,0.03776721449,2.277129
0x5f3582b06b6697fd64e791ab7ace882fe66bc835,-69060,0,0.358068,-0.001733,0.001733,0.356335,0.3504250228,0.005909977157,0.356335
0x5f3928096d53fd00696f5eee18a3618693a91fd7,-10980,-6960,0.4572,0,0,0.4572,0.4496171312,0.007582868807,0.4572
0x60c2780b7412b9b28b724fbcd76a7e723468b664,-29940,-6960,5.046533,-1876.03838,5.046533,0,0,0,0
0x60c2780b7412b9b28b724fbcd76a7e723468b664,-69060,0,0.279814,-1.340256,0.279814,0,0,0,0
0x642c63f23055a8d17fe751b56c5030704e4c197b,-15060,-9180,1004.280422,-59.256929,59.256929,945.023493,929.3498509,15.6736421,945.023493
0x649165b44a9ae50eaade055e9ecd88134c8ccd62,-10980,-6960,2.8288,0,0,2.8288,2.781883072,0.04691692756,2.8288
0x64e1a38cbdcec7753e1242f0a23f6a6d6c9f4fa3,-69060,0,5025.000593,211.842765,0,5025.000593,4941.658685,295.1846728,5236.843358
0x667eeb11e3adfc2f3a8e30c2787f74a2760eccfe,-69060,-69000,0,0,0,0,0,0,0
0x673176bdf8431153dcfdbeb69afe3308e23dc4ed,-69060,0,502,-0.000814,0.000814,501.999186,493.6733024,8.325883571,501.999186
0x6c209c19deea3809aa4cd3dc2039e9af73d4fd44,4320,12060,1001.5568,0,0,1001.5568,984.9455274,16.61127257,1001.5568
0x6c209c19deea3809aa4cd3dc2039e9af73d4fd44,-69060,0,5009.000965,206.495246,0,5009.000965,4925.924418,289.5717927,5215.496211
0x6fecd2316df53383899fde64021c707af90017ab,-10980,-10620,1012.30338,0,0,1012.30338,995.5138705,16.78950946,1012.30338
0x6fecd2316df53383899fde64021c707af90017ab,-69060,0,1.614423,-0.882161,0.882161,0.732262,0.7201171035,0.0121448965,0.732262
0x7512f108f81278de1239006a3fb20907cf5c818f,-69060,0,0.485441,-0.503574,0.485441,0,0,0,0
0x756e68f85226e17c2ad9a36f5f3c81f88a01b20d,-23040,23040,1023.185015,-77.281058,77.281058,945.903957,930.215712,15.68824499,945.903957
0x7607b0a0e89120ada6ecab8dd9783ac1900aaa9c,-69060,0,477.411116,-750.389269,477.411116,0,0,0,0
0x7ed7380023e63b1f59d546fd9b8e982f2a31ca73,-40080,5100,1081.040522,-675.782878,675.782878,405.257644,398.5362627,6.721381338,405.257644
0x7f757b82d59c6c209616dcf911644f19e5ccf518,-16080,9180,0.1,0,0,0.1,0.09834145477,0.001658545233,0.1
