owner,tickLower,tickUpper,Withdrawable amount,amount
0x29d0f83328a5c258cb4ece8c8965ddcec53f15c0,-69060,0,0,0
0x29d0f83328a5c258cb4ece8c8965ddcec53f15c0,-6960,0,0,0
0x29d97ea59e27c9552fe99726c61327e0dbbbe0c8,-26400,-20820,0.002,2000000000000000
0x2ac43f1b20e54b182d075d801e1c350c420686d1,-29940,69060,0.01264394742,12643947422949500
0x2b3f3b921698990de5886fffc77d5bd6f670e960,-29940,69060,0.01264293728,12642937284203800
0x2b4b249a60cbcd575bffbee34be05c4dbae1e2bb,-69060,0,0.0000007819784979,781978497938
0x2d0f5b5f8bedf9a6fb6818f4ba3cde3099682ae3,-76020,0,0.000002827301881,2827301881304
0x2d0f5b5f8bedf9a6fb6818f4ba3cde3099682ae3,-69060,0,0,0
0x2d0f5b5f8bedf9a6fb6818f4ba3cde3099682ae3,-6960,0,0,0
0x2dc4107042f414eb431b69e0318d5763dee12f6d,-23040,23040,0.0001,100000000000000
0x2e82e1fcbb03b7df282a3228ab33d1946cd484a5,-69060,0,0.6285455101,628545510130594000
0x2ecaedb100f68781f8d14f7ec4320e1b610dbdff,-69060,0,0.02918763525,29187635254103400
0x2f2e822d0d47a0dfcf5d39e612fbff247351f054,-69060,0,0,0
0x30e73466703e0966a8fc0de72e6674eba6946868,-69060,0,0,0
0x310983148bea9596b41c78203a89bbd1f4807e01,-23040,0,0.00987455521,9874555210149200
0x3385b53a18d7af6087cbe41781418311281633e7,-69060,0,0.000000582438007,582438006988
0x338e76d66ef221c46ab95a703b52b270c747d200,-69060,0,0.4483155884,448315588377958000
0x352035c59a29404ac1195393d98d5170ca97a47a,-50100,0,0.002603862937,2603862936782690
0x352035c59a29404ac1195393d98d5170ca97a47a,-27060,0,0,0
0x352035c59a29404ac1195393d98d5170ca97a47a,-23040,0,0,0
0x36374ee7a7ec2a9ca99df05e310fd707f4c0a675,-76020,0,0.000005188244205,5188244205158
0x36374ee7a7ec2a9ca99df05e310fd707f4c0a675,-69060,0,0,0
0x36374ee7a7ec2a9ca99df05e310fd707f4c0a675,-6960,0,0,0
0x36d750806119b92ca6bdb0ef95b4952f635d5087,-23040,0,0.0006,600000000000000
0x38c65b606aa1c0886bc1d16cfc400ae218b38d15,-69060,0,2.772299279,2772299279404540000
0x391506fec7848dd2c92a1c0ba6f2077d4f18511c,-23040,0,0.0007,700000000000000
0x3a5f303a17d2b182b8fa41005a3c878b43325ea9,-69060,0,0.0000003945746052,394574605230
0x3aa01862ba41b63bb6a4dd0cd4cb488fdfbb511c,-10980,-6960,0.00001,10000000000000
